sector_name,subsector_name,series_id,series_name,year,country_name,country_value,income_group_name,income_group_average,subregion_name,region_name,region_average
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2010,Guinea,95,Lower Middle Income Country (World Bank Classification),2716.98041666666666666667,West Africa,Sub-Saharan Africa,132.2086956521739
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2011,Guinea,95,Lower Middle Income Country (World Bank Classification),2728.32625,West Africa,Sub-Saharan Africa,135.546739130434782608696
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2012,Guinea,95,Lower Middle Income Country (World Bank Classification),2781.52083333333333333333,West Africa,Sub-Saharan Africa,172.25375
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2013,Guinea,95,Lower Middle Income Country (World Bank Classification),2796.715625,West Africa,Sub-Saharan Africa,173.382083333333333333333
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2014,Guinea,95,Lower Middle Income Country (World Bank Classification),2806.23604166666666666667,West Africa,Sub-Saharan Africa,174.245625
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2015,Guinea,95,Lower Middle Income Country (World Bank Classification),2817.9075,West Africa,Sub-Saharan Africa,179.080416666666666666667
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2016,Guinea,95,Lower Middle Income Country (World Bank Classification),2825.015813,West Africa,Sub-Saharan Africa,175.459591836734693877551
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2017,Guinea,95,Lower Middle Income Country (World Bank Classification),2834.43604166666666666667,West Africa,Sub-Saharan Africa,176.637612244897959183673
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2018,Guinea,95,Lower Middle Income Country (World Bank Classification),2836.410375,West Africa,Sub-Saharan Africa,177.1638
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2019,Guinea,95,Lower Middle Income Country (World Bank Classification),2929.8625,West Africa,Sub-Saharan Africa,177.647248979591836734694
Environment and Global Climate Change,Land resources,1468,"Land use, land area equipped for irrigation (thousands of hectares)",2020,Guinea,95,Lower Middle Income Country (World Bank Classification),2939.68520833333333333333,West Africa,Sub-Saharan Africa,178.873065306122448979592
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2012,Guinea,159.06,Lower Middle Income Country (World Bank Classification),6016.3126703703703703703703703704,West Africa,Sub-Saharan Africa,1232.9738826956521739130434782609
